Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
62257,0.8174999952316284,0.8175041079521179,0.8175032138824463
62277,0.8174999952316284,0.8175039291381836,0.8175032138824463
62297,0.8174999952316284,0.8175038695335388,0.8175032138824463
62317,0.8174999952316284,0.8175040483474731,0.8175032138824463
62337,0.8174999952316284,0.8175041079521179,0.8175032138824463
62357,0.8174999952316284,0.8175039291381836,0.8175032138824463
62377,0.8174999952316284,0.8175038695335388,0.8175032138824463
62397,0.8174999952316284,0.8175040483474731,0.8175032138824463
62417,0.8174999952316284,0.8175041079521179,0.8175032138824463
62437,0.8174999952316284,0.8175039291381836,0.8175032138824463
62457,0.8174999952316284,0.8175038695335388,0.8175032138824463
62477,0.8174999952316284,0.8175040483474731,0.8175032138824463
62497,0.8174999952316284,0.8175041079521179,0.8175032138824463
62517,0.8174999952316284,0.8175039291381836,0.8175032138824463
62537,0.8174999952316284,0.8175038695335388,0.8175032138824463
62557,0.8174999952316284,0.8175040483474731,0.8175032138824463
62577,0.8174999952316284,0.8175041079521179,0.8175032138824463
62597,0.8174999952316284,0.8175039291381836,0.8175032138824463
62617,0.8174999952316284,0.8175038695335388,0.8175032138824463
62637,0.8174999952316284,0.8175040483474731,0.8175032138824463
62657,0.8174999952316284,0.8175041079521179,0.8175032138824463
62677,0.8174999952316284,0.8175039291381836,0.8175032138824463
62697,0.8174999952316284,0.8175038695335388,0.8175032138824463
62717,0.8174999952316284,0.8175040483474731,0.8175032138824463
62737,0.8174999952316284,0.8175041079521179,0.8175032138824463
62757,0.8174999952316284,0.8175039291381836,0.8175032138824463
62777,0.8174999952316284,0.8175038695335388,0.8175032138824463
62797,0.8174999952316284,0.8175040483474731,0.8175032138824463
62817,0.8174999952316284,0.8175041079521179,0.8175032138824463
62837,0.8174999952316284,0.8175039291381836,0.8175032138824463
62857,0.8174999952316284,0.8175038695335388,0.8175032138824463
62877,0.8174999952316284,0.8175040483474731,0.8175032138824463
62897,0.8174999952316284,0.8175041079521179,0.8175032138824463
62917,0.8174999952316284,0.8175039291381836,0.8175032138824463
62937,0.8174999952316284,0.8175038695335388,0.8175032138824463
62957,0.8174999952316284,0.8175040483474731,0.8175032138824463
62977,0.8174999952316284,0.8175041079521179,0.8175032138824463
62997,0.8174999952316284,0.8175039291381836,0.8175032138824463
63017,0.8174999952316284,0.8175038695335388,0.8175032138824463
63037,0.8174999952316284,0.8175040483474731,0.8175032138824463
63057,0.8174999952316284,0.8175041079521179,0.8175032138824463
63077,0.8174999952316284,0.8175039291381836,0.8175032138824463
