Timestamp,INDI_Outer.posRef_x,INDI_Outer.posS_x,INDI_Outer.velRef_x,INDI_Outer.velS_x
66735,0.5,0.5288344621658325,-0.0346013568341732,-0.02565719187259674
66755,0.5,0.5283700227737427,-0.03404402732849121,-0.02401476725935936
66775,0.5,0.5272244215011597,-0.0326693058013916,-0.02832920476794243
66795,0.5,0.5265824794769287,-0.03189897537231445,-0.028100209310650826
66815,0.5,0.5266913175582886,-0.03202958405017853,-0.022125843912363052
66835,0.5,0.5257996916770935,-0.030959630385041237,-0.025213701650500298
66855,0.5,0.5252992510795593,-0.03035910241305828,-0.02513003721833229
66875,0.5,0.525061845779419,-0.030074216425418854,-0.023188181221485138
66895,0.5,0.5250269174575806,-0.03003230132162571,-0.01999940350651741
66915,0.5,0.525031328201294,-0.030037594959139824,-0.016874171793460846
66935,0.5,0.5252971053123474,-0.030356528237462044,-0.011548827402293682
66955,0.5,0.5245758891105652,-0.029491068795323372,-0.014681431464850903
66975,0.5,0.5249713063240051,-0.029965568333864212,-0.008887181058526039
66995,0.5,0.5242224931716919,-0.029066992923617363,-0.012411379255354404
67015,0.5,0.5243983268737793,-0.029277993366122246,-0.008452956564724445
67035,0.5,0.5235978960990906,-0.02831747569143772,-0.01287300419062376
67055,0.5,0.5238276124000549,-0.028593135997653008,-0.008361435495316982
67075,0.5,0.5240530967712402,-0.02886371687054634,-0.004380140919238329
67095,0.5,0.523417592048645,-0.028101110830903053,-0.007371142040938139
67115,0.5,0.5234857201576233,-0.0281828660517931,-0.004646481014788151
67135,0.5,0.5233339071273804,-0.028000690042972565,-0.004054406192153692
67155,0.5,0.5229450464248657,-0.027534056454896927,-0.0055529093369841576
67175,0.5,0.5228739976882935,-0.02744879759848118,-0.004451234359294176
67195,0.5,0.5227231979370117,-0.027267837896943092,-0.00418112613260746
67215,0.5,0.5225878357887268,-0.027105404064059258,-0.0039191339164972305
67235,0.5,0.522389829158783,-0.02686779573559761,-0.004274914972484112
67255,0.5,0.5219658017158508,-0.026358963921666145,-0.006449627690017223
67275,0.5,0.5223948359489441,-0.02687380462884903,-0.0015937944408506155
67295,0.5,0.5221032500267029,-0.026523901149630547,-0.0033966361079365015
67315,0.5,0.5219987630844116,-0.026398517191410065,-0.004109143279492855
67335,0.5,0.5232613682746887,-0.027913643047213554,0.00622564135119319
67355,0.5,0.5238645672798157,-0.028637481853365898,0.010484710335731506
67375,0.5,0.5236940979957581,-0.028432918712496758,0.008951622992753983
