tick,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
40438.0,-0.4759455919265747,0.8143619894981384,0.04288577288389206,40023.0,-3956.0,5213.0,-2893.0,0.9937292337417603
40440.0,-0.5067239999771118,0.9129914045333862,0.04290075600147247,40023.0,-3813.0,5404.0,-2856.0,0.9940743446350098
40442.0,-0.5416080355644226,1.0149562358856201,0.0413372777402401,40023.0,-1904.0,1670.0,-2964.0,0.9941719174385071
40444.0,-0.5808959603309631,1.115891933441162,0.039024997502565384,40023.0,-2012.0,2137.0,-2887.0,0.9968379139900208
40446.0,-0.6223189830780029,1.228112816810608,0.038351673632860184,40023.0,29.0,-2757.0,-3052.0,0.9999172687530518
40448.0,-0.661963164806366,1.3390471935272217,0.039604540914297104,40023.0,-655.0,-2071.0,-2889.0,1.0021072626113892
40450.0,-0.7005974054336548,1.4479780197143555,0.04119562730193138,40023.0,1297.0,-6434.0,-3068.0,1.0002007484436035
40452.0,-0.7435968518257141,1.561394453048706,0.04592282697558403,40023.0,963.0,-5835.0,-2853.0,0.9990442991256714
40454.0,-0.7875667810440063,1.6644560098648071,0.05320732668042183,40023.0,3307.0,-9963.0,-2964.0,1.0008262395858765
40456.0,-0.8302818536758423,1.7695797681808472,0.05894501134753227,40023.0,2435.0,-8727.0,-2770.0,1.0016285181045532
40458.0,-0.8745256066322327,1.8683031797409058,0.06419111043214798,40023.0,4991.0,-13496.0,-2859.0,1.0024501085281372
40460.0,-0.9190642833709717,1.9640390872955322,0.06658951193094254,40023.0,4127.0,-11440.0,-2723.0,1.0024662017822266
40462.0,-0.9622017741203308,2.062472343444824,0.06773482263088226,40023.0,6642.0,-17272.0,-2830.0,1.003269910812378
40464.0,-1.008048176765442,2.1586296558380127,0.07033132016658783,40023.0,5829.0,-14954.0,-2702.0,1.005298376083374
40466.0,-1.0493344068527222,2.240678548812866,0.07219531387090683,40023.0,8271.0,-19724.0,-2775.0,1.0052934885025024
40468.0,-1.0878939628601074,2.318747043609619,0.07284384965896606,40023.0,6826.0,-16735.0,-2689.0,1.0092777013778687
40470.0,-1.1224677562713623,2.3845882415771484,0.07350946962833405,40023.0,9361.0,-21701.0,-2740.0,1.0131958723068237
40472.0,-1.1568652391433716,2.4433047771453857,0.07309108972549438,40023.0,7926.0,-17987.0,-2690.0,1.0133426189422607
40474.0,-1.1866267919540405,2.500936269760132,0.07383298128843307,40023.0,10486.0,-23876.0,-2702.0,1.0121382474899292
40476.0,-1.213140845298767,2.550446033477783,0.07523921877145767,40023.0,8612.0,-19776.0,-2677.0,1.0076907873153687
40478.0,-1.238297700881958,2.5972278118133545,0.07267461717128754,40023.0,11459.0,-25601.0,-2669.0,1.0042644739151
40480.0,-1.2627227306365967,2.6325912475585938,0.0726708322763443,40023.0,9646.0,-20905.0,-2694.0,1.0049680471420288
40482.0,-1.2894164323806763,2.6573734283447266,0.07686278223991394,40023.0,12884.0,-25972.0,-2560.0,1.0073736906051636
40484.0,-1.3067721128463745,2.6698663234710693,0.07670824974775314,40023.0,10270.0,-20800.0,-2664.0,1.008184790611267
40486.0,-1.315346121788025,2.680738925933838,0.07384979724884033,40023.0,12512.0,-26349.0,-2527.0,1.009907603263855
40488.0,-1.3234326839447021,2.6843433380126953,0.07265637814998627,40023.0,10361.0,-21386.0,-2688.0,1.0094224214553833
40490.0,-1.3302640914916992,2.6712729930877686,0.07186080515384674,40023.0,13141.0,-25486.0,-2476.0,1.007683515548706
40492.0,-1.3281720876693726,2.651758909225464,0.07000691443681717,40023.0,10224.0,-20280.0,-2700.0,1.0053662061691284
40494.0,-1.3172545433044434,2.6253457069396973,0.0680936947464943,40023.0,12178.0,-24787.0,-2444.0,1.0027120113372803
40496.0,-1.3100937604904175,2.5984103679656982,0.06507954746484756,40023.0,10124.0,-19986.0,-2725.0,1.0010744333267212
40498.0,-1.3022950887680054,2.555408239364624,0.06281033158302307,40023.0,12678.0,-23444.0,-2431.0,1.000910758972168
40500.0,-1.2898244857788086,2.510843515396118,0.06227986514568329,40023.0,9972.0,-18444.0,-2735.0,1.0010156631469727
40510.0,-1.176416277885437,2.196261167526245,0.04860282689332962,40023.0,10480.0,-18326.0,-2408.0,1.0171700716018677
40512.0,-1.1420754194259644,2.1212897300720215,0.04572287201881409,40023.0,7766.0,-13337.0,-2815.0,1.0235687494277954
40514.0,-1.1042072772979736,2.0528719425201416,0.04417603462934494,40023.0,9269.0,-16970.0,-2413.0,1.0283746719360352
40516.0,-1.0574911832809448,1.9677568674087524,0.04640396311879158,40023.0,6110.0,-11177.0,-2798.0,1.027622938156128
40518.0,-1.0112636089324951,1.881432294845581,0.046386729925870895,40023.0,7577.0,-13631.0,-2354.0,1.0311352014541626
40520.0,-0.9622525572776794,1.78904390335083,0.0464283749461174,40023.0,4982.0,-8788.0,-2784.0,1.0353050231933594
